2019/10/23 11:42:14.079 [D]  init logger success!
2019/10/23 11:46:55.673 [D]  -----{dmesg Oct 20 04:18:58 172-18-8-178.youyuan-idc.com systemd: Starting Session 47457 of user root.}
2019/10/23 11:46:55.682 [D]  pid:1 offset:69

2019/10/23 11:46:57.683 [D]  -----{dmesg Oct 20 04:18:58 172-18-8-178.youyuan-idc.com systemd-logind: Removed session 47457.}
2019/10/23 11:46:57.694 [D]  pid:1 offset:70

2019/10/23 11:46:59.695 [D]  -----{dmesg Oct 20 04:18:59 172-18-8-178.youyuan-idc.com systemd-logind: New session 47458 of user root.}
2019/10/23 11:46:59.703 [D]  pid:3 offset:67

2019/10/23 11:47:01.704 [D]  -----{dmesg Oct 20 04:18:59 172-18-8-178.youyuan-idc.com systemd: Started Session 47458 of user root.}
2019/10/23 11:47:01.714 [D]  pid:1 offset:71

2019/10/23 11:47:03.715 [D]  -----{dmesg Oct 20 04:18:59 172-18-8-178.youyuan-idc.com systemd: Starting Session 47458 of user root.}
2019/10/23 11:47:03.724 [D]  pid:1 offset:72

2019/10/23 11:47:05.725 [D]  -----{dmesg Oct 20 04:18:59 172-18-8-178.youyuan-idc.com systemd-logind: Removed session 47458.}
2019/10/23 11:47:05.733 [D]  pid:1 offset:73

2019/10/23 11:47:07.734 [D]  -----{dmesg Oct 20 04:20:01 172-18-8-178.youyuan-idc.com systemd: Started Session 47459 of user root.}
2019/10/23 11:47:07.743 [D]  pid:4 offset:45

2019/10/23 11:47:09.745 [D]  -----{dmesg Oct 20 04:20:01 172-18-8-178.youyuan-idc.com systemd: Starting Session 47459 of user root.}
2019/10/23 11:47:09.755 [D]  pid:1 offset:74

2019/10/23 11:47:11.757 [D]  -----{dmesg Oct 20 04:20:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T20:20:18.184133673Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:47:11.764 [D]  pid:4 offset:46

2019/10/23 11:47:13.766 [D]  -----{dmesg Oct 20 04:20:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T20:20:18.184211897Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:47:13.775 [D]  pid:2 offset:59

2019/10/23 11:47:15.777 [D]  -----{dmesg Oct 20 04:23:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T20:23:18.184408513Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:47:15.784 [D]  pid:2 offset:60

2019/10/23 11:47:17.785 [D]  -----{dmesg Oct 20 04:23:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T20:23:18.184496978Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:47:17.795 [D]  pid:6 offset:47

